Year,Total Victoria,Regional Victoria
Y2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
T24624,24207,25511,26066,27499,28832,31410,34106,38333,26644,25750
R10955,11503,11416,12675,13164,13585,15982,16773,18928,11852,13676
